review_id,product_id,rating,review_text
1,1,5,Great mouse with excellent battery life!
2,1,4,Good value for money but could be more ergonomic.
3,2,4,Solid cable works perfectly with my laptop.
4,3,5,Amazing sound quality and comfortable fit.
5,3,5,Best headphones in this price range.
6,3,4,Good sound but battery drains quickly.
7,4,4,Sturdy stand helps with posture.
8,5,5,Perfect mechanical keyboard smooth typing experience.
9,5,5,Love the RGB lighting and key switches.
10,6,4,Clear video quality good for meetings.
11,7,4,Nice case fits well and protects my phone.
12,8,5,Fast transfer speeds highly recommend.
13,8,4,Compact and reliable storage solution.
14,9,5,Excellent display crisp colors.
15,9,4,Great monitor but stand could be better.
16,10,4,Charges my phone quickly every night.
17,11,5,Smooth surface perfect for gaming.
18,12,4,Works as expected no issues.
19,13,5,Very comfortable and lots of compartments.
20,14,4,All ports work great for my setup.
21,15,3,Does the job but had some bubbles during application.
22,1,3,Decent but had connectivity issues sometimes.
23,5,4,Great keyboard slightly loud for office use.
24,3,5,Noise cancellation is superb.
25,9,5,Perfect for work and gaming both.
